id_mp,sex,name
175,1,Білецький Андрій Євгенійович
176,1,Ар'єв Володимир Ігорович
177,1,Третьяков Олександр Юрійович
178,1,Константіновський Вячеслав Леонідович
179,1,Ємець Леонід Олександрович
180,1,Андрієвський Дмитро Йосипович
181,1,Левченко Юрій Володимирович
182,1,Яценюк Арсеній Петрович
183,2,Чорновол Тетяна Миколаївна
184,1,Турчинов Олександр Валентинович
185,1,Парубій Андрій Володимирович
186,1,Тетерук Андрій Анатолійович
187,1,Аваков Арсен Борисович
188,1,Кириленко В'ячеслав Анатолійович
189,2,Гриневич Лілія Михайлівна
190,1,Береза Юрій Миколайович
191,1,Петренко Павло Дмитрович
192,1,Пашинський Сергій Володимирович
193,1,Тимчук Дмитро Борисович
194,1,Мартиненко Микола Володимирович
195,2,Денісова Людмила Леонтіївна
196,1,Іванчук Андрій Володимирович
197,1,Васюник Ігор Васильович
198,1,Лук'янчук Руслан Валерійович
199,1,Лунченко Валерій Валерійович
200,2,Донець Тетяна Анатоліївна
201,1,Геращенко Антон Юрійович
202,1,Левус Андрій Мар'янович
203,1,Дзензерський Денис Вікторович
204,1,Шкварилюк Володимир Васильович
205,1,Матейченко Костянтин Володимирович
206,2,Ледовських Олена Володимирівна
207,2,Колганова Олена Валеріївна
208,1,Сидорчук Вадим Васильович
209,1,Заставний Роман Йосипович
210,1,Дейдей Євген Сергійович
211,1,Семерак Остап Михайлович
212,1,Княжицький Микола Леонідович
213,1,Бабенко Валерій Борисович
214,1,Ксенжук Олександр Степанович
215,1,Логвинський Георгій Володимирович
216,1,Єленський Віктор Євгенович
217,1,Поляков Максим Анатолійович
218,1,Величкович Микола Романович
219,1,Горбунов Олександр Володимирович
220,1,Хміль Михайло Михайлович
221,1,Унгурян Павло Якимович
222,1,Висоцький Сергій Віталійович
223,1,Ванат Петро Михайлович
224,2,Войцеховська Світлана Михайлівна
225,1,Бриченко Ігор Віталійович
226,1,Котвіцький Ігор Олександрович
227,1,Пинзеник Павло Васильович
228,1,Сочка Олександр Олександрович
229,1,Кадикало Микола Олегович
230,2,Масоріна Олена Сергіївна
231,1,Присяжнюк Олександр Анатолійович
232,2,Кацер-Бучковська Наталія Володимирівна
233,1,Соляр Володимир Миронович
234,1,Сторожук Дмитро Анатолійович
235,1,Кремінь Тарас Дмитрович
236,1,Кривенко Вадим Валерійович
237,2,Єфремова Ірина Олексіївна
238,1,Алексєєв Ігор Сергійович
239,2,Бойко Олена Петрівна
240,1,Корчик Віталій Андрійович
241,2,Матузко Олена Олександрівна
242,1,Луценко Юрій Віталійович
243,2,Богомолець Ольга Вадимівна
244,1,Гройсман Володимир Борисович
245,1,Джемілєв Мустафа
247,2,Геращенко Ірина Володимирівна
248,1,Ковальчук Віталій Анатолійович
249,1,Квіт Сергій Миронович
250,1,Князевич Руслан Петрович
251,1,Стець Юрій Ярославович
252,1,Гринів Ігор Олексійович
253,2,Продан Оксана Петрівна
254,2,Новак Наталія Василівна
255,1,Пинзеник Віктор Михайлович
256,2,Заліщук Світлана Петрівна
257,1,Лещенко Сергій Анатолійович
258,1,Найєм Мустафа-Масі
259,1,Черненко Олександр Миколайович
260,1,Павленко Ростислав Миколайович
261,2,Іонова Марія Миколаївна
262,1,Палатний Артур Леонідович
263,1,Романюк Роман Сергійович
264,1,Розенко Павло Валерійович
265,1,Заболотний Григорій Михайлович
266,1,Кононенко Ігор Віталійович
267,2,Фріз Ірина Василівна
268,1,Матвієнко Анатолій Сергійович
269,1,Павелко Андрій Васильович
270,1,Король Віктор Миколайович
271,1,Паламарчук Микола Петрович
272,1,Іщенко Валерій Олександрович
273,1,Пацкан Валерій Васильович
274,1,Антонищак Андрій Федорович
275,1,Гончаренко Олексій Олексійович
276,1,Козаченко Леонід Петрович
277,1,Ткачук Геннадій Віталійович
278,1,Герасимов Артур Володимирович
279,2,Агафонова Наталія Володимирівна
280,1,Денисенко Вадим Ігорович
281,1,Тригубенко Сергій Миколайович
282,2,Бєлькова Ольга Валентинівна
283,2,Червакова Ольга Валеріївна
284,1,Кобцев Михайло Валентинович
285,1,Насіров Роман Михайлович
286,1,Загорій Гліб Володимирович
287,1,Гвоздьов Михайло Олексійович
288,1,Алєксєєв Сергій Олегович
289,1,Чепинога Віталій Михайлович
290,1,Бакуменко Олександр Борисович
291,1,Грановський Олександр Михайлович
292,1,Кубів Степан Іванович
293,2,Климпуш-Цинцадзе Іванна Орестівна
294,1,Брензович Василь Іванович
295,1,Кудлаєнко Сергій Володимирович
296,2,Гопко Ганна Миколаївна
297,1,Семенченко Семен Ігорович
298,1,Скрипник Олексій Олексійович
299,2,Сироїд Оксана Іванівна
300,1,Кривенко Віктор Миколайович
301,2,Суслова Ірина Миколаївна
302,1,Кишкар Павло Миколайович
303,2,Бабак Альона Валеріївна
304,2,Веселова Наталія Василівна
305,1,Данченко Олександр Іванович
306,2,Сотник Олена Сергіївна
307,1,Лаврик Олег Васильович
308,1,Соболєв Єгор Вікторович
309,1,Маркевич Ярослав Володимирович
310,1,Мірошніченко Іван Володимирович
311,1,Журжій Андрій Валерійович
312,1,Єднак Остап Володимирович
313,1,Діденко Ігор Анатолійович
314,2,Острікова Тетяна Георгіївна
315,1,Опанасенко Олександр Валерійович
316,2,Войціцька Вікторія Михайлівна
318,2,Сисоєнко Ірина Володимирівна
319,1,Підлісецький Лев Теофілович
320,1,Семенуха Роман Сергійович
321,1,Березюк Олег Романович
322,1,Костенко Павло Петрович
323,2,Романова Анна Анатоліївна
324,1,Мірошник Андрій Миколайович
325,1,Кіраль Сергій Іванович
326,1,Бойко Юрій Анатолійович
327,1,Вілкул Олександр Юрійович
328,1,Добкін Михайло Маркович
329,1,Рабінович Вадим Зіновійович
330,1,Білий Олексій Петрович
331,1,Ларін Сергій Миколайович
332,2,Королевська Наталія Юріївна
333,2,Бахтеєва Тетяна Дмитрівна
334,1,Скорик Микола Леонідович
335,1,Новинський Вадим Владиславович
336,1,Льовочкін Сергій Володимирович
337,1,Воропаєв Юрій Миколайович
338,1,Козак Тарас Романович
339,1,Гусак Володимир Георгійович
340,2,Льовочкіна Юлія Володимирівна
341,1,Кісельов Андрій Миколайович
342,1,Мирний Іван Миколайович
343,1,Мороко Юрій Миколайович
344,1,Колєсніков Дмитро Валерійович
345,1,Папієв Михайло Миколайович
346,1,Долженков Олександр Валерійович
347,1,Павленко Юрій Олексійович
348,1,Нечаєв Олександр Ігоревич
349,1,Шурма Ігор Михайлович
350,1,Ляшко Олег Валерійович
351,1,Лозовой Андрій Сергійович
352,1,Мельничук Сергій Петрович
353,2,Бордюг Інна Леонідівна
354,1,Шухевич Юрій-Богдан Романович
355,1,Попов Ігор Володимирович
356,1,Вітко Артем Леонідович
357,1,Вощевський Валерій Миколайович
358,1,Мосійчук Ігор Володимирович
359,1,Галасюк Віктор Валерійович
360,1,Ленський Олексій Олексійович
361,1,Силантьєв Денис Олегович
362,2,Кошелєва Альона Володимирівна
363,1,Артеменко Андрій Вікторович
364,1,Купрієнко Олег Васильович
365,1,Кириченко Олексій Миколайович
366,1,Скуратовський Сергій Іванович
367,1,Лінько Дмитро Володимирович
368,1,Амельченко Василь Васильович
369,1,Вовк Віктор Іванович
370,2,Корчинська Оксана Анатоліївна
371,2,Савченко Надія Вікторівна
372,1,Луценко Ігор Вікторович
373,1,Соболєв Сергій Владиславович
374,2,Шкрум Альона Іванівна
375,1,Івченко Вадим Євгенович
376,1,Немиря Григорій Михайлович
377,1,Крулько Іван Іванович
378,1,Рябчин Олексій Михайлович
379,1,Жданов Ігор Олександрович
380,1,Шлемко Дмитро Васильович
381,1,Тарасюк Борис Іванович
382,1,Кожем'якін Андрій Анатолійович
383,1,Кириленко Іван Григорович
384,1,Власенко Сергій Володимирович
385,2,Кужель Олександра Володимирівна
386,1,Абдуллін Олександр Рафкатович
387,1,Нестеренко Вадим Григорович
388,1,Кривошея Геннадій Григорович
389,1,Курило Віталій Семенович
390,1,Кутовий Тарас Вікторович
391,1,Мамчур Юлій Валерійович
392,1,Мартовицький Артур Володимирович
393,1,Матвійчук Едуард Леонідович
394,1,Мірошниченко Юрій Романович
395,1,Мушак Олексій Петрович
396,1,Насалик Ігор Степанович
397,1,Негой Федір Федорович
398,1,Німченко Василь Іванович
399,1,Онуфрик Богдан Семенович
400,1,Павлов Костянтин Юрійович
402,1,Пастух Тарас Тимофійович
403,2,Подоляк Ірина Ігорівна
